Flu Season,Location of Immunization,≥ 6 months,6 months - 17 years,6 months - 4 years,5 - 12 years,13 - 17 years,≥ 18 years,18 - 64 years,18 - 49 years,50 -64 years,≥ 65 years
2018-2019,Alabama,7966,2935,935,1380,620,5031,3071,1615,1456,1960
2018-2019,Alaska,4169,1683,522,598,563,2486,1699,902,797,787
2018-2019,Arizona,8714,2253,703,988,562,6461,3712,1975,1737,2749
2018-2019,Arkansas,5247,2352,739,1073,540,2895,1442,684,758,1453
2018-2019,California,9857,2275,893,860,522,7582,5639,3654,1985,1943
2018-2019,Colorado,9421,2096,680,871,545,7325,4824,2752,2072,2501
2018-2019,Connecticut,9274,1804,527,696,581,7470,4573,2152,2421,2897
2018-2019,Delaware,5758,2865,861,1473,531,2893,1873,1043,830,1020
2018-2019,District of Columbia,NR,3331,1240,1534,557,NR,NR,NR,NR,NR
2018-2019,Florida,18806,3234,1120,1244,870,15572,9098,4929,4169,6474
2018-2019,Georgia,7319,3212,1051,1528,633,4107,2805,1667,1138,1302
2018-2019,Hawaii,8433,2313,723,1024,566,6120,3910,2256,1654,2210
2018-2019,Idaho,3728,1617,497,684,436,2111,1366,816,550,745
2018-2019,Illinois,8441,4540,1468,1864,1208,3901,2768,1683,1085,1133
2018-2019,Indiana,9254,2533,825,1157,551,6721,4078,2120,1958,2643
2018-2019,Iowa,8797,1717,566,704,447,7080,4722,2751,1971,2358
2018-2019,Kansas,10097,2369,752,929,688,7728,4867,2670,2197,2861
2018-2019,Kentucky,5619,1657,517,663,477,3962,2583,1370,1213,1379
2018-2019,Louisiana,5407,2368,851,856,661,3039,2150,1225,925,889
2018-2019,Maine,10246,2363,695,1106,562,7883,4166,1749,2417,3717
2018-2019,Maryland,16938,4410,1534,2064,812,12528,7271,3338,3933,5257
2018-2019,Massachusetts,7770,2060,727,776,557,5710,3921,2266,1655,1789
2018-2019,Michigan,9132,2266,809,906,551,6866,4494,2573,1921,2372
2018-2019,Minnesota,10694,1744,551,703,490,8950,6037,3455,2582,2913
2018-2019,Mississippi,6900,3417,1099,1742,576,3483,2264,1201,1063,1219
2018-2019,Missouri,8597,1897,632,841,424,6700,3796,1972,1824,2904
2018-2019,Montana,6666,2097,703,949,445,4569,2900,1602,1298,1669
2018-2019,Nebraska,11617,1765,576,716,473,9852,6077,3368,2709,3775
2018-2019,Nevada,3854,2371,801,910,660,1483,1018,640,378,465
2018-2019,New Hampshire,6144,2387,739,1153,495,3757,2143,962,1181,1614
2018-2019,New Jersey,NR,3386,1161,1487,738,NR,NR,NR,NR,NR
2018-2019,New Mexico,7277,2474,879,1031,564,4803,2994,1619,1375,1809
2018-2019,New York,23398,4921,1762,2022,1137,18477,12114,6642,5472,6363
2018-2019,North Carolina,6767,3390,1143,1605,642,3377,2380,1466,914,997
2018-2019,North Dakota,7313,1800,616,701,483,5513,3147,1487,1660,2366
2018-2019,Ohio,12308,2632,847,1182,603,9676,5725,2830,2895,3951
2018-2019,Oklahoma,7087,2955,964,1286,705,4132,2520,1415,1105,1612
2018-2019,Oregon,6325,1703,510,711,482,4622,3217,1991,1226,1405
2018-2019,Pennsylvania,11333,5161,1699,2159,1303,6172,4305,2493,1812,1867
2018-2019,Rhode Island,6699,2198,694,962,542,4501,2813,1359,1454,1688
2018-2019,South Carolina,9389,2968,976,1370,622,6421,3503,1838,1665,2918
2018-2019,South Dakota,7179,1956,632,802,522,5223,3191,1679,1512,2032
2018-2019,Tennessee,5775,2031,664,767,600,3744,2362,1233,1129,1382
2018-2019,Texas,20511,10954,3758,3407,3789,9557,5918,3442,2476,3639
2018-2019,Utah,10046,1719,583,690,446,8327,6037,4129,1908,2290
2018-2019,Vermont,7170,2411,717,1164,530,4759,2828,1288,1540,1931
2018-2019,Virginia,11249,3148,1130,1442,576,8101,5467,3062,2405,2634
2018-2019,Washington,12131,2185,763,932,490,9946,6012,3362,2650,3934
2018-2019,West Virginia,6964,2883,950,1359,574,4081,2471,1212,1259,1610
2018-2019,Wisconsin,5561,2600,822,1177,601,2961,1864,938,926,1097
2018-2019,Wyoming,5447,1957,643,894,420,3490,1958,964,994,1532
2018-2019,United States,441506,139358,46248,59141,33969,302148,190093,103839,86254,112055
2018-2019,Region  1,47287,13207,4089,5855,3263,34080,20444,9776,10668,13636
2018-2019,Region  2,26785,8308,2924,3509,1875,18477,12114,6642,5472,6363
2018-2019,Region  3,55570,21795,7411,10028,4356,33775,21387,11148,10239,12388
2018-2019,Region  4,68549,22852,7511,10301,5040,45697,28066,15319,12747,17631
2018-2019,Region  5,55393,16318,5324,6990,4004,39075,24966,13599,11367,14109
2018-2019,Region  6,45524,21098,7190,7649,6259,24426,15024,8385,6639,9402
2018-2019,Region  7,39108,7748,2527,3190,2031,31360,19462,10761,8701,11898
2018-2019,Region  8,46072,11625,3857,4907,2861,34447,22057,12613,9444,12390
2018-2019,Region  9,30862,9216,3125,3786,2305,21646,14279,8525,5754,7367
2018-2019,Region 10,26356,7191,2290,2926,1975,19165,12294,7071,5223,6871
